link,rank,title
https://about.netflix.com/en/news/netflix-to-acquire-warner-bros,1.,Netflix to Acquire Warner Bros
https://www.cell.com/cell/fulltext/S0092-8674(25)01256-5,2.,Shingles vaccination prevented or delayed dementia
item?id=46163121,3.,"I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA"
https://blog.cloudflare.com/5-december-2025-outage/,4.,"Cloudflare outage on December 5, 2025"
https://tigerbeetle.com/blog/2025-10-25-synadia-and-tigerbeetle-pledge-512k-to-the-zig-software-foundation/,5.,"Synadia and TigerBeetle Pledge $512,000 to the Zig Software Foundation"
https://lightpanda.io/blog/posts/why-we-built-lightpanda-in-zig,6.,We Built Lightpanda in Zig
https://matduggan.com/making-rss-more-fun/,7.,Making RSS More Fun
https://corrode.dev/blog/defensive-programming/,8.,Patterns for Defensive Programming in Rust
https://www.notebookcheck.net/Framework-Laptop-13-gets-ARM-processor-with-12-cores-via-upgrade-kit.1177930.0.html,9.,Framework Laptop 13 gets ARM processor with 12 cores via upgrade kit
item?id=46163977,10.,Onlook (YC W25) the Cursor for Designers Is Hiring a Founding Fullstack Engineer
https://blog.ui.com/article/introducing-unifi-5g,11.,UniFi 5G
https://github.com/serpapi/serpapi-mcp,12.,Show HN: SerpApi MCP Server
https://news.artnet.com/art-world/huge-jerash-jordan-pompeii-middle-easy-2708480,13.,The Forgotten Roman Ruins of the ‘Pompeii of the Middle East’
https://blog.google/technology/developers/gemini-3-pro-vision/,14.,Gemini 3 Pro: the frontier of vision AI
https://pointersgonewild.com/2025-11-29-building-a-copying-gc-for-the-plush-programming-language/,15.,Building a Copying GC for the Plush Programming Language
https://netflixtechblog.com/av1-now-powering-30-of-netflix-streaming-02f592242d80,16.,Netflix’s AV1 Journey: From Android to TVs and Beyond
https://blog.joeschrag.com/2023/11/most-technical-problems-are-really.html,17.,Most technical problems are people problems
https://evclinic.eu/2025/12/04/2021-phev-bmw-ibmucp-21f37e-post-crash-recovery-when-eu-engineering-becomes-a-synonym-for-unrepairable-generating-waste/,18.,BMW PHEV: Safety fuse replacement is extremely expensive
https://rollingout.com/2025/12/05/wall-street-protects-itself-ai-bubble/,19.,Wall Street races to protect itself from AI bubble
https://nim-lang.org/araq/nimony.html,20.,Nimony (Nim 3.0) Design Principles
https://pbnj.sh/,21.,"Show HN: Pbnj – A minimal, self-hosted pastebin you can deploy in 60 seconds"
https://resobscura.substack.com/p/why-i-have-been-writing-a-niche-history,22.,I have been writing a niche history blog for 15 years
https://commons.wikimedia.org/wiki/User:Spinster/WikiFlix,23.,WikiFlix: Full Movies Hosted on Wikimedia Commons
https://www.macrumors.com/2025/12/05/openai-device-barred-from-io-name/,24.,Jony Ive's OpenAI Device Barred from Using 'Io' Name
https://kraa.io/about,25.,Show HN: Kraa – Writing App for Everything
https://www.sciencedaily.com/releases/2025/11/251130050717.htm,26.,New 3D scan reveals a hidden network of moai carvers on Easter Island
https://arstechnica.com/gaming/2025/12/after-40-years-of-adventure-games-ron-gilbert-pivots-to-outrunning-death/,27.,"After 40 years of adventure games, Ron Gilbert pivots to outrunning Death"
https://lyra.horse/blog/2025/12/svg-clickjacking/,28.,Trick users and bypass warnings – Modern SVG Clickjacking attacks
https://www.wsj.com/business/spacex-in-talks-for-share-sale-that-would-boost-valuation-to-800-billion-b2852191,29.,SpaceX in Talks for Share Sale That Would Boost Valuation to $800B
https://apnews.com/article/kenya-seed-sharing-law-ruling-ad4df5a364299b3a9f8515c0f52d5f80,30.,Kenyan court declares law banning seed sharing unconstitutional
